Handle,Title,Body (HTML),Vendor,Type,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
decoration-charge-50c,Decoration,Branding charge applied by the Piobox design studio. Not sold on its own.,Piobox,Service,FALSE,Amount,0.50,DEC-000050,0,,continue,manual,0.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,1.00,DEC-000100,0,,continue,manual,1.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,1.50,DEC-000150,0,,continue,manual,1.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,2.00,DEC-000200,0,,continue,manual,2.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,2.50,DEC-000250,0,,continue,manual,2.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,3.00,DEC-000300,0,,continue,manual,3.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,3.50,DEC-000350,0,,continue,manual,3.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,4.00,DEC-000400,0,,continue,manual,4.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,4.50,DEC-000450,0,,continue,manual,4.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,5.00,DEC-000500,0,,continue,manual,5.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,5.50,DEC-000550,0,,continue,manual,5.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,6.00,DEC-000600,0,,continue,manual,6.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,6.50,DEC-000650,0,,continue,manual,6.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,7.00,DEC-000700,0,,continue,manual,7.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,7.50,DEC-000750,0,,continue,manual,7.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,8.00,DEC-000800,0,,continue,manual,8.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,8.50,DEC-000850,0,,continue,manual,8.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,9.00,DEC-000900,0,,continue,manual,9.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,9.50,DEC-000950,0,,continue,manual,9.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,10.00,DEC-001000,0,,continue,manual,10.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,10.50,DEC-001050,0,,continue,manual,10.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,11.00,DEC-001100,0,,continue,manual,11.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,11.50,DEC-001150,0,,continue,manual,11.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,12.00,DEC-001200,0,,continue,manual,12.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,12.50,DEC-001250,0,,continue,manual,12.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,13.00,DEC-001300,0,,continue,manual,13.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,13.50,DEC-001350,0,,continue,manual,13.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,14.00,DEC-001400,0,,continue,manual,14.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,14.50,DEC-001450,0,,continue,manual,14.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,15.00,DEC-001500,0,,continue,manual,15.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,15.50,DEC-001550,0,,continue,manual,15.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,16.00,DEC-001600,0,,continue,manual,16.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,16.50,DEC-001650,0,,continue,manual,16.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,17.00,DEC-001700,0,,continue,manual,17.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,17.50,DEC-001750,0,,continue,manual,17.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,18.00,DEC-001800,0,,continue,manual,18.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,18.50,DEC-001850,0,,continue,manual,18.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,19.00,DEC-001900,0,,continue,manual,19.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,19.50,DEC-001950,0,,continue,manual,19.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,20.00,DEC-002000,0,,continue,manual,20.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,20.50,DEC-002050,0,,continue,manual,20.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,21.00,DEC-002100,0,,continue,manual,21.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,21.50,DEC-002150,0,,continue,manual,21.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,22.00,DEC-002200,0,,continue,manual,22.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,22.50,DEC-002250,0,,continue,manual,22.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,23.00,DEC-002300,0,,continue,manual,23.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,23.50,DEC-002350,0,,continue,manual,23.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,24.00,DEC-002400,0,,continue,manual,24.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,24.50,DEC-002450,0,,continue,manual,24.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,25.00,DEC-002500,0,,continue,manual,25.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,25.50,DEC-002550,0,,continue,manual,25.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,26.00,DEC-002600,0,,continue,manual,26.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,26.50,DEC-002650,0,,continue,manual,26.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,27.00,DEC-002700,0,,continue,manual,27.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,27.50,DEC-002750,0,,continue,manual,27.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,28.00,DEC-002800,0,,continue,manual,28.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,28.50,DEC-002850,0,,continue,manual,28.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,29.00,DEC-002900,0,,continue,manual,29.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,29.50,DEC-002950,0,,continue,manual,29.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,30.00,DEC-003000,0,,continue,manual,30.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,30.50,DEC-003050,0,,continue,manual,30.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,31.00,DEC-003100,0,,continue,manual,31.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,31.50,DEC-003150,0,,continue,manual,31.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,32.00,DEC-003200,0,,continue,manual,32.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,32.50,DEC-003250,0,,continue,manual,32.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,33.00,DEC-003300,0,,continue,manual,33.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,33.50,DEC-003350,0,,continue,manual,33.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,34.00,DEC-003400,0,,continue,manual,34.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,34.50,DEC-003450,0,,continue,manual,34.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,35.00,DEC-003500,0,,continue,manual,35.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,35.50,DEC-003550,0,,continue,manual,35.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,36.00,DEC-003600,0,,continue,manual,36.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,36.50,DEC-003650,0,,continue,manual,36.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,37.00,DEC-003700,0,,continue,manual,37.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,37.50,DEC-003750,0,,continue,manual,37.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,38.00,DEC-003800,0,,continue,manual,38.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,38.50,DEC-003850,0,,continue,manual,38.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,39.00,DEC-003900,0,,continue,manual,39.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,39.50,DEC-003950,0,,continue,manual,39.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,40.00,DEC-004000,0,,continue,manual,40.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,40.50,DEC-004050,0,,continue,manual,40.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,41.00,DEC-004100,0,,continue,manual,41.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,41.50,DEC-004150,0,,continue,manual,41.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,42.00,DEC-004200,0,,continue,manual,42.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,42.50,DEC-004250,0,,continue,manual,42.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,43.00,DEC-004300,0,,continue,manual,43.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,43.50,DEC-004350,0,,continue,manual,43.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,44.00,DEC-004400,0,,continue,manual,44.00,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,44.50,DEC-004450,0,,continue,manual,44.50,FALSE,TRUE,active
decoration-charge-50c,,,,,FALSE,Amount,45.00,DEC-004500,0,,continue,manual,45.00,FALSE,TRUE,active
