Handle,Title,Body (HTML),Vendor,Type,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
decoration-charge,Decoration,Branding charge applied by the Piobox design studio. Not sold on its own.,Piobox,Service,FALSE,Amount,1.00,DEC-000100,0,,continue,manual,1.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,2.00,DEC-000200,0,,continue,manual,2.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,3.00,DEC-000300,0,,continue,manual,3.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,4.00,DEC-000400,0,,continue,manual,4.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,5.00,DEC-000500,0,,continue,manual,5.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,6.00,DEC-000600,0,,continue,manual,6.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,7.00,DEC-000700,0,,continue,manual,7.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,8.00,DEC-000800,0,,continue,manual,8.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,9.00,DEC-000900,0,,continue,manual,9.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,10.00,DEC-001000,0,,continue,manual,10.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,11.00,DEC-001100,0,,continue,manual,11.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,12.00,DEC-001200,0,,continue,manual,12.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,13.00,DEC-001300,0,,continue,manual,13.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,14.00,DEC-001400,0,,continue,manual,14.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,15.00,DEC-001500,0,,continue,manual,15.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,16.00,DEC-001600,0,,continue,manual,16.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,17.00,DEC-001700,0,,continue,manual,17.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,18.00,DEC-001800,0,,continue,manual,18.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,19.00,DEC-001900,0,,continue,manual,19.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,20.00,DEC-002000,0,,continue,manual,20.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,21.00,DEC-002100,0,,continue,manual,21.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,22.00,DEC-002200,0,,continue,manual,22.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,23.00,DEC-002300,0,,continue,manual,23.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,24.00,DEC-002400,0,,continue,manual,24.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,25.00,DEC-002500,0,,continue,manual,25.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,26.00,DEC-002600,0,,continue,manual,26.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,27.00,DEC-002700,0,,continue,manual,27.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,28.00,DEC-002800,0,,continue,manual,28.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,29.00,DEC-002900,0,,continue,manual,29.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,30.00,DEC-003000,0,,continue,manual,30.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,31.00,DEC-003100,0,,continue,manual,31.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,32.00,DEC-003200,0,,continue,manual,32.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,33.00,DEC-003300,0,,continue,manual,33.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,34.00,DEC-003400,0,,continue,manual,34.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,35.00,DEC-003500,0,,continue,manual,35.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,36.00,DEC-003600,0,,continue,manual,36.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,37.00,DEC-003700,0,,continue,manual,37.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,38.00,DEC-003800,0,,continue,manual,38.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,39.00,DEC-003900,0,,continue,manual,39.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,40.00,DEC-004000,0,,continue,manual,40.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,41.00,DEC-004100,0,,continue,manual,41.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,42.00,DEC-004200,0,,continue,manual,42.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,43.00,DEC-004300,0,,continue,manual,43.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,44.00,DEC-004400,0,,continue,manual,44.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,45.00,DEC-004500,0,,continue,manual,45.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,46.00,DEC-004600,0,,continue,manual,46.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,47.00,DEC-004700,0,,continue,manual,47.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,48.00,DEC-004800,0,,continue,manual,48.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,49.00,DEC-004900,0,,continue,manual,49.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,50.00,DEC-005000,0,,continue,manual,50.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,51.00,DEC-005100,0,,continue,manual,51.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,52.00,DEC-005200,0,,continue,manual,52.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,53.00,DEC-005300,0,,continue,manual,53.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,54.00,DEC-005400,0,,continue,manual,54.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,55.00,DEC-005500,0,,continue,manual,55.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,56.00,DEC-005600,0,,continue,manual,56.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,57.00,DEC-005700,0,,continue,manual,57.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,58.00,DEC-005800,0,,continue,manual,58.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,59.00,DEC-005900,0,,continue,manual,59.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,60.00,DEC-006000,0,,continue,manual,60.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,61.00,DEC-006100,0,,continue,manual,61.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,62.00,DEC-006200,0,,continue,manual,62.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,63.00,DEC-006300,0,,continue,manual,63.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,64.00,DEC-006400,0,,continue,manual,64.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,65.00,DEC-006500,0,,continue,manual,65.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,66.00,DEC-006600,0,,continue,manual,66.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,67.00,DEC-006700,0,,continue,manual,67.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,68.00,DEC-006800,0,,continue,manual,68.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,69.00,DEC-006900,0,,continue,manual,69.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,70.00,DEC-007000,0,,continue,manual,70.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,71.00,DEC-007100,0,,continue,manual,71.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,72.00,DEC-007200,0,,continue,manual,72.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,73.00,DEC-007300,0,,continue,manual,73.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,74.00,DEC-007400,0,,continue,manual,74.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,75.00,DEC-007500,0,,continue,manual,75.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,76.00,DEC-007600,0,,continue,manual,76.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,77.00,DEC-007700,0,,continue,manual,77.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,78.00,DEC-007800,0,,continue,manual,78.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,79.00,DEC-007900,0,,continue,manual,79.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,80.00,DEC-008000,0,,continue,manual,80.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,81.00,DEC-008100,0,,continue,manual,81.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,82.00,DEC-008200,0,,continue,manual,82.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,83.00,DEC-008300,0,,continue,manual,83.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,84.00,DEC-008400,0,,continue,manual,84.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,85.00,DEC-008500,0,,continue,manual,85.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,86.00,DEC-008600,0,,continue,manual,86.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,87.00,DEC-008700,0,,continue,manual,87.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,88.00,DEC-008800,0,,continue,manual,88.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,89.00,DEC-008900,0,,continue,manual,89.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,90.00,DEC-009000,0,,continue,manual,90.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,91.00,DEC-009100,0,,continue,manual,91.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,92.00,DEC-009200,0,,continue,manual,92.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,93.00,DEC-009300,0,,continue,manual,93.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,94.00,DEC-009400,0,,continue,manual,94.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,95.00,DEC-009500,0,,continue,manual,95.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,96.00,DEC-009600,0,,continue,manual,96.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,97.00,DEC-009700,0,,continue,manual,97.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,98.00,DEC-009800,0,,continue,manual,98.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,99.00,DEC-009900,0,,continue,manual,99.00,FALSE,TRUE,active
decoration-charge,,,,,FALSE,Amount,100.00,DEC-010000,0,,continue,manual,100.00,FALSE,TRUE,active
